time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,9.49849872439e-08,-6.99842764274e-08,10.0048858542,6.28308196094,6.28292682024,0.0,1.55397456776e-05,-7.81337354934e-06,0.162851805887,-0.0054116424851,-0.0147339052943,0.0,456.4728904452123,455.29588854981864,457.14387098242776,456.71256547784355
0.12000000000000001,9.10081756976e-06,-3.62278993121e-06,10.0160558757,6.28279884024,6.28200036032,0.0,0.000369803822323,-0.00013917915639,0.209474354306,-0.0033675072148,-0.0168939981051,0.0,419.05450314817887,418.8668082509142,420.2671628018212,420.4443544001234
0.18,6.33365624e-05,-2.11947158933e-05,10.0344759962,6.28202850665,6.28118566926,0.0,0.00154328007941,-0.000482320582209,0.404480134145,-0.049562903405,-0.00765764463124,0.0,466.5287263799592,467.2493418750118,467.1928378155304,463.57753989270896
0.23999999999999996,0.000208362489357,-9.28243802964e-05,10.0664445104,6.27947583298,6.28104976492,0.0,0.00332577642536,-0.00224758401073,0.66102306616,-0.0312929850571,0.00678297731166,0.0,484.06432755505125,485.149668287236,483.18184295286676,484.5561136462932
0.3,0.000453295672208,-0.000317039187304,10.1105010161,6.27771500207,6.28104256379,0.0,0.00481028007023,-0.00542365510837,0.807433891808,-0.0257154452416,-0.0198282303562,0.0,452.8982801694299,450.7531763982461,451.6656857049786,452.114976635139
0.36000000000000004,0.000788304949384,-0.000758207248948,10.1614022969,6.27620292221,6.28067684709,0.0,0.00642508478383,-0.00943327116331,0.889213914534,-0.0241925657155,0.0126049093834,0.0,430.4504839734166,433.1861096431485,431.643984585428,431.7723369046156
0.4200000000000001,0.00122629947156,-0.00148345362716,10.2192338342,6.2755848679,6.28134785955,0.0,0.00809626543623,-0.0148440480335,1.03837946705,0.00854864786776,0.00817746886607,0.0,453.54729618455235,453.19148583565203,451.4171726195052,454.051213080166
0.48000000000000015,0.00174555904202,-0.00251876143727,10.2832519489,6.27671094356,6.28217863128,0.0,0.00914727004979,-0.019582336282,1.09550508399,0.0338646185542,0.0232821103553,0.0,423.61694421206465,424.9135673249319,423.02079546322665,425.19493115406095
0.5400000000000001,0.00231212355998,-0.0038377699263,10.3549810818,6.27892892106,0.000349832218902,0.0,0.00957725946898,-0.0241345583394,1.29526268535,0.0425409724878,0.0212261039195,0.0,468.2633988560939,468.10345476849835,468.85388436536954,469.52796611382826
0.6000000000000002,0.00287531914242,-0.00535892063502,10.4343251362,6.28126476469,0.00178304797192,0.0,0.00906663593679,-0.0263363848488,1.34947723111,0.0305050889929,0.0287377596948,0.0,423.57250120606056,424.2180380167623,424.2616453918769,423.2279135204067
0.6600000000000003,0.00336865471066,-0.00697685375589,10.5217843518,0.000270102215998,0.00329050385073,0.0,0.00718443506633,-0.0273522341408,1.56555942296,0.0464113048704,0.0166883713718,0.0,473.23698593292784,472.3087468922479,474.75450324603514,475.9737575234067
0.7200000000000003,0.00373200878269,-0.00860224709402,10.617372869,0.00357354485841,0.00479403691169,0.0,0.00480460569344,-0.0265335851756,1.62064712563,0.0683375087003,0.0380098048331,0.0,423.92851400914066,425.75663901483443,423.94303738124415,425.8247921823312
